Number,Name,Constellation
12,Merak,Ursa Major
13,Phad,Ursa Major
14,Psi Ursae Majoris,Ursa Major
15,Talitha,Ursa Major
16,Theta Ursae Majoris,Ursa Major
17,Megrez,Ursa Major
18,Muscida,Ursa Major
19,Tania Borealis,Ursa Major
20,Aula Borealis,Ursa Major
21,Tania Australis,Ursa Major
22,Kappa Ursae Majoris,Ursa Major
23,Chi Ursae Majoris,Ursa Major
24,Upsilon Ursae Majoris,Ursa Major
25,Aula Australis,Ursa Major
26,Alcor,Ursa Major
1,Polaris,Ursa Minor
2,Kocab,Ursa Minor
3,Pherkad,Ursa Minor
4,Epsilon Ursae Minoris,Ursa Minor
5,Akhfa al Farkadain,Ursa Minor
6,Yildun,Ursa Minor
7,Anwar al Farkadain,Ursa Minor
1,Suhail al Muhlif,Vela
2,Koo She,Vela
3,Suhail,Vela
4,Markeb,Vela
5,Mu Velorum,Vela
6,Tseen Kee,Vela
7,Psi Velorum,Vela
12,Spica,Virgo
13,Porrima,Virgo
14,Vindemiatrix,Virgo
15,Heze,Virgo
16,Auva,Virgo
17,Zavijava,Virgo
18,Rijl al Awwa,Virgo
19,Zaniah,Virgo
20,Syrma,Virgo
1,Beta Volantis,Volans
2,Gamma Volantis,Volans
3,Zeta Volantis,Volans
4,Delta Volantis,Volans
5,Alpha Volantis,Volans
6,Epsilon Volantis,Volans
2,Anser,Vulpecula
3,23 Vulpeculae,Vulpecula
4,13 Vulpeculae,Vulpecula
5,31 Vulpeculae,Vulpecula
6,15 Vulpeculae,Vulpecula
7,1 Vulpeculae,Vulpecula
