Constellation,Number,HD,Mag,Lon,Lat
Orion,6,35468.0,1.64,98.71720833333332,6.349722222222222
Orion,12,30652.0,3.19,107.54108333333332,6.961250000000001
Orion,20,30739.0,4.35,107.347,8.90025
Orion,15,30836.0,3.68,107.19845833333332,5.605111111111111
Orion,17,31237.0,3.71,106.43708333333332,2.440666666666667
Orion,10,36486.0,2.2,96.99833333333332,0.2990833333333333
Pegasus,3,217906.0,2.44,-165.94304166666666,28.082444444444445
Pegasus,6,215182.0,2.93,-160.75054166666666,30.221305555555556
Pegasus,8,216131.0,3.51,-162.5004166666667,24.601694444444448
Pegasus,11,215665.0,3.97,-161.6326666666667,23.56566666666667
Pegasus,10,210027.0,3.77,-151.7519583333333,25.345055555555557
Pegasus,4,218045.0,2.49,-166.19008333333335,15.20536111111111
Pegasus,7,214923.0,3.41,-160.36529166666668,10.831388888888888
Pegasus,9,210418.0,3.52,-152.54924999999997,6.197777777777778
Pegasus,5,886.0,2.83,176.69104166666668,15.18361111111111
Perseus,19,25642.0,4.25,118.35391666666666,50.35136111111111
Perseus,17,26630.0,4.12,116.27558333333332,48.40936111111111
Perseus,8,22928.0,3.01,124.26883333333332,47.78766666666667
Perseus,3,20902.0,1.79,128.919375,49.86125
Perseus,7,18925.0,2.91,133.800875,53.50644444444445
Perseus,11,17506.0,3.77,137.325875,55.89552777777778
Perseus,14,17878.0,3.93,136.43558333333334,52.7625
Perseus,16,19373.0,4.05,132.738,49.6135
Perseus,12,19476.0,3.79,132.62654166666667,44.85788888888889
Perseus,4,19356.0,2.09,132.95779166666665,40.95563888888889
Perseus,6,24760.0,2.9,120.53658333333334,40.01027777777778
Perseus,15,24912.0,3.98,120.25875,35.79102777777778
Perseus,5,24398.0,2.84,121.467,31.883666666666667
Pisces,3,219615.0,3.7,-169.28954166666665,3.28225
Pisces,8,220954.0,4.27,-171.99237499999998,6.379111111111111
Pisces,6,222368.0,4.13,-174.98674999999997,5.627361111111112
Pisces,12,222603.0,4.49,-175.512,1.7804166666666663
Pisces,20,220825.0,4.95,-171.73295833333333,1.2558333333333334
Pisces,5,224617.0,4.03,-179.8275,6.863583333333333
Pisces,10,4656.0,4.44,167.82958333333335,7.585194444444444
Pisces,9,6186.0,4.27,164.26391666666666,7.890083333333333
Pisces,19,9138.0,4.84,157.45441666666667,6.143944444444445
Pisces,11,10380.0,4.45,154.64204166666667,5.487611111111111
Pisces,15,11559.0,4.61,151.61108333333334,3.187472222222222
Pisces,4,12446.0,4.33,149.48833333333334,2.76375
Pisces,7,10761.0,4.26,153.65170833333332,9.15763888888889
Pisces,2,9270.0,3.62,157.12920833333334,15.345833333333331
Pisces,17,7318.0,4.67,161.56275,24.583777777777776
Pisces,13,7106.0,4.51,162.08504166666663,30.08972222222222
Pisces,18,7964.0,4.74,160.13341666666668,27.26408333333333
Sagitta,2,189319.0,3.51,-119.689125,19.492083333333333
Sagitta,3,187076.0,3.82,-116.84695833333336,18.53425
Serpens,15,175638.0,4.62,-104.0548333333333,4.2035277777777775
Serpens,8,141795.0,3.71,-57.70370833333334,4.4775833333333335
Serpens,3,140573.0,2.63,-56.06666666666666,6.425527777777778
Serpens,9,141795.0,3.71,-57.70370833333334,4.4775833333333335
Serpens,7,141003.0,3.65,-56.54670833333333,15.421916666666666
Serpens,14,140159.0,4.51,-55.38787500000001,19.6705
Serpens,11,141477.0,4.09,-57.18504166666668,18.141777777777776
Serpens,10,142860.0,5.2,-59.112458333333336,15.664722222222222
Sextans,2,90994.0,5.08,22.427083333333343,0.6369722222222222
Sextans,1,87887.0,4.48,28.015416666666653,0.3716388888888888
Taurus,4,35497.0,1.65,98.42708333333331,28.607861111111117
Taurus,14,29763.0,4.27,109.43875,22.956972222222223
Taurus,8,28305.0,3.53,112.846125,19.18052777777778
Taurus,11,27697.0,3.77,114.26654166666668,17.542583333333337
Taurus,9,27371.0,3.65,115.05195833333332,15.627694444444446
Taurus,10,21364.0,3.73,128.20783333333333,9.73277777777778
Taurus,7,25204.0,3.41,119.82991666666666,12.490388888888887
Taurus,15,26912.0,4.27,116.11645833333333,8.892416666666666
Taurus,6,37202.0,2.97,95.58883333333333,21.14258333333333
Taurus,3,29139.0,0.87,111.02,16.50975
Taurus,12,28307.0,3.84,112.85654166666669,15.962222222222222
Triangulum,4,14055.0,4.03,145.6715,33.84733333333334
Triangulum,2,13161.0,3.0,147.6145,34.98738888888889
Triangulum,3,11443.0,3.42,151.72958333333332,29.57938888888889
Ursa Major,10,120315.0,1.85,-26.885625000000005,49.31330555555555
Ursa Major,26,116842.0,3.99,-21.30641666666668,54.98797222222223
Ursa Major,8,112185.0,1.76,-13.506791666666658,55.959833333333336
Ursa Major,17,106591.0,3.32,-3.8560416666666697,57.03261111111111
Ursa Major,13,103287.0,2.41,1.5427500000000125,53.69472222222222
Ursa Major,12,95418.0,2.34,14.540041666666667,56.382333333333335
Ursa Major,23,102224.0,3.69,3.48695833333332,47.77933333333333
Ursa Major,20,98262.0,3.49,10.380166666666668,33.09425
Ursa Major,14,96833.0,3.0,12.583916666666653,44.49855555555556
Ursa Major,21,89758.0,3.06,24.41749999999999,41.49944444444444
Ursa Major,24,84999.0,3.78,32.251291666666674,59.03911111111111
Ursa Major,16,82328.0,3.17,36.781958333333336,51.67861111111111
Ursa Major,22,77327.0,3.57,44.093500000000006,47.156666666666666
Ursa Major,9,95689.0,1.81,14.067333333333323,61.75111111111111
Ursa Major,27,81937.0,3.65,37.118458333333336,63.06180555555555
Ursa Minor,1,8890.0,1.97,142.05383333333333,89.2641388888889
Ursa Minor,6,166205.0,4.35,-83.05374999999998,86.58633333333333
Ursa Minor,4,153751.0,4.21,-71.49233333333333,82.03725
Ursa Minor,5,142105.0,4.29,-56.01441666666668,77.7945
Ursa Minor,2,131873.0,2.07,-42.67666666666668,74.15547222222223
Ursa Minor,3,137422.0,3.04,-50.18229166666666,71.83397222222222
Ursa Minor,7,148048.0,4.95,-64.37708333333333,75.75469444444444
Virgo,15,118098.0,3.38,-23.67395833333333,0.5959444444444445
Virgo,19,107259.0,3.89,-4.976625000000013,0.66675
Virgo,14,113226.0,2.85,-15.544833333333344,10.95911111111111
Virgo,16,112300.0,3.39,-13.901999999999989,3.397611111111111
Virgo,21,130109.0,3.73,-41.562458333333325,1.8929444444444443
Virgo,22,122408.0,4.23,-30.41158333333334,1.5445833333333332
Virgo,24,104979.0,4.12,-1.3027916666666783,8.732833333333334
Virgo,25,102212.0,4.04,3.5351249999999936,6.529805555555556
Vulpecula,3,192806.0,4.5,-123.94233333333337,27.814222222222224
Vulpecula,6,189849.0,4.66,-120.27504166666664,27.753555555555558
Vulpecula,4,188260.0,4.57,-118.36533333333335,24.079527777777777
Vulpecula,2,183439.0,4.44,-112.17670833333337,24.665166666666664
Andromeda,6,12533.0,2.1,149.02533333333332,42.32986111111112
Andromeda,10,222107.0,3.81,-174.39045833333336,46.45916666666667
Andromeda,9,217675.0,3.62,-165.48020833333334,42.32597222222223
Andromeda,4,358.0,2.07,177.90345833333333,29.09083333333333
Andromeda,19,5516.0,4.4,165.69820833333333,23.41775
