Constellation,Number,HD,Mag,Lon,Lat
Equuleus,1,202447,3.92,-138.9558333,5.248083333
Hercules,16,153808,3.92,-75.07254167,30.92633333
Sagittarius,28,181577,3.92,-110.41825,-16.15275
Centaurus,14,108483,3.91,-7.010041667,-49.76938889
Hercules,15,147394,3.91,-64.93520833,46.31327778
Libra,6,138905,3.91,-53.88141667,-13.21044444
Taurus,13,25490,3.91,119.2109167,5.989305556
Centaurus,20,117440,3.9,-22.761125,-38.59272222
Hydra,14,83618,3.9,35.036125,-0.857333333
Centaurus,13,98718,3.9,9.748166667,-53.50897222
Cygnus,14,188947,3.89,-119.0766667,35.0835
Eridanus,10,18322,3.89,135.8933333,-7.102388889
