artist,album,track_name,track_id,release_year,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
MEDUZA,Piece Of Your Heart,Piece Of Your Heart,1DFD5Fotzgn6yYXkYsKiGs,2019,False,80,0.677,0.744,10,-6.806,0,0.0295,0.00016,0.074,0.631,124.08,152913,4
Ariana Grande,"thank u, next",7 rings,6ocbgoVGwYJhOv1GgI9NsF,2019,True,87,0.778,0.317,1,-10.732,0,0.334,0.0,0.0881,0.327,140.048,178627,4
Ed Sheeran,Beautiful People (feat. Khalid),Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,2019,False,79,0.64,0.648,5,-8.113,0,0.187,0.0,0.0802,0.548,92.977,197867,4
Branco,All In,All In,59iEMlCecSDtur0rlSOmvX,2019,False,49,0.805,0.637,5,-5.501,0,0.0472,0.0,0.0716,0.321,99.983,168282,4
Sam Smith,Dancing With A Stranger (with Normani),Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,2019,False,79,0.741,0.52,8,-7.513,1,0.0656,1.97e-06,0.222,0.347,102.998,171030,4
Avicii,SOS (feat. Aloe Blacc),SOS,0n2nEtLP3OzDdi12ziIekx,2019,False,64,0.802,0.645,5,-6.181,0,0.0715,0.0,0.119,0.376,100.001,157202,4
Halsey,Without Me,Without Me,5p7ujcrUXASCNwRaWNHR1C,2019,True,82,0.752,0.488,6,-7.05,1,0.0705,9.11e-06,0.0936,0.533,136.041,201661,4
Dean Lewis,Be Alright,Be Alright,3EPXxR3ImUwfayaurPi3cm,2019,True,83,0.553,0.586,11,-6.319,1,0.0362,0.0,0.0813,0.443,126.684,196373,4
Mabel,Ivy To Roses (Mixtape),Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,2019,False,82,0.674,0.881,9,-2.853,1,0.147,3.01e-06,0.0793,0.234,98.994,178480,4
Lukas Graham,3 (The Purple Album),Love Someone,3id2EVGKc3eFAMn9nFnB0r,2019,False,65,0.538,0.409,9,-6.581,0,0.0505,0.0,0.11,0.265,171.838,205440,4
Gilli,Kiko,Culo (feat. Branco),49vQclrdXkZXMJnD0VN3qZ,2019,False,52,0.9,0.66,8,-3.782,1,0.179,1.15e-06,0.109,0.584,92.013,145872,4
Alec Benjamin,Narrated For You,Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,2019,False,87,0.652,0.557,1,-5.714,0,0.0318,0.0,0.124,0.483,150.073,169354,4
Jonas Brothers,Sucker,Sucker,4y3OI86AEP6PQoDE6olYhO,2019,False,6,0.842,0.734,1,-5.065,0,0.0588,0.0,0.106,0.952,137.958,181040,4
Citybois,Sig Mig,Sig Mig,2kDVTfMiMP8ignU2hU2yCB,2019,False,0,0.703,0.812,7,-4.744,1,0.245,0.0,0.228,0.626,92.037,194707,4
Gilli,Kolde Nætter,Kolde Nætter,6OuXYdo2VotwVcV9kEBqS9,2019,False,43,0.746,0.541,10,-6.967,0,0.145,2.98e-06,0.19,0.478,97.024,173790,4
MellemFingaMuzik,JUNGLE,JUNGLE,0VWTSWZVask2dSMShSphvM,2019,False,51,0.793,0.551,6,-5.909,0,0.0795,0.0,0.186,0.572,142.066,209266,4
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",bury a friend,4SSnFejRGlZikf02HLewEF,2019,False,79,0.905,0.389,8,-14.505,1,0.332,0.162,0.106,0.196,120.046,193143,4
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",when the party's over,43zdsphuZLzwA9k4DJhU0I,2019,False,84,0.367,0.111,4,-14.084,1,0.0972,3.97e-05,0.0897,0.198,82.642,196077,4
Khalid,Talk,Talk,0rTV5WefWd1J3OwIheTzxM,2019,False,73,0.9,0.4,0,-8.443,1,0.124,0.0,0.0876,0.338,136.001,197487,4
